KEGG,mtabNames,extEff,Plimited_extracellular_s9301ax_50,Plimited_filter_s9301ax_50,replete_extracellular_s9301ax_10,replete_extracellular_s9301ax_50,replete_extracellular_s0801ax_10,replete_extracellular_s9313ax_5,replete_extracellular_s9313ax_10,replete_filter_s9301ax_10,replete_filter_s9301ax_50,replete_filter_s0801ax_10,replete_filter_s9313ax_5,replete_filter_s9313ax_10
C00196,2-3-dihydroxybenzoic acid,100.9,0,0,0,0,0,0,0,0,0,0,0,0
C19675,2-3-dihydroxypropane1sulfonate,0.6,1.50250273010786e-09,0,7.55978649889654e-09,0,8.83037211535714e-09,0,0,0,0,0,0,0
C08276,3-mercapto proprionate,88.6,0,0,0,0,0,0,0,0,0,0,0,0
C00141,3-methyl-2-oxobutanoic acid,10.1,1.48686871631974e-06,0,1.25668065864863e-06,1.70210098404831e-06,3.66295710388551e-08,1.37225644341922e-05,1.17370344388673e-05,0,0,0,0,0
C00671,3-methyl-2-oxopentanoic acid,50.1,0,0,1.14982263645417e-07,2.1449334037173e-07,0,6.0760756296742e-07,6.06484863313155e-07,1.4990821608354e-09,1.23210141279263e-09,2.1717111064146e-09,1.41484698718516e-10,2.18954287718788e-09
C00568,4-aminobenzoic acid,18.5,0,0,2.36100477301756e-09,2.33025926983039e-09,2.23394286183716e-08,1.19329409250839e-09,2.4034825572237e-09,0,0,1.44506559842741e-09,0,0
C00156,4-hydroxybenzoic acid,88,1.5123829003836e-07,0,1.1236931857313e-07,8.15086226115159e-08,2.66244027999498e-07,1.12239119046281e-07,8.85092614679722e-08,0,0,0,0,0
C00233,4-methyl-2-oxopentanoic acid,43.4,0,0,2.46770499073888e-07,2.24995498188063e-07,0,7.25074751282038e-07,7.84517687202255e-07,4.29661151339593e-10,3.42407093266422e-10,1.20330528188699e-09,0,6.64632259778075e-10
C00170,5'-Deoxy-5'(methylthio)adenosine,80.9,1.88855597251981e-08,5.95427759495795e-09,0,0,0,2.69352106012789e-09,4.58553300022858e-09,0,1.46233790931467e-09,0,0,3.41679785147685e-09
C20267,AmMP,0,0,0,0,0,0,0,0,0,0,0,0,0
C00352,D-glucosamine 6-phosphate,0,0,0,0,0,0,0,0,0,0,0,0,0
C04022,DMSP,0,0,0,0,0,0,0,0,0,0,0,0,0
C00334,GABA,0,0,0,0,0,0,0,0,0,0,0,0,0
C01279,HMP,0,0,0,0,0,0,0,0,0,0,0,0,0
C00004,NAD pos,20.9,0,1.41203318251747e-07,0,0,0,0,0,7.72981441355002e-08,1.41721559255267e-07,2.90350406240127e-07,0,0
C00134,Putrescine,0,0,0,5.1381556948402e-09,0,0,0,1.37714963067239e-09,0,0,0,0,0
0,acetyltaurine,0,0,0,0,0,0,0,0,0,0,0,0,0
C00147,adenine pos,0,2.05475564982622e-08,6.62135459144786e-09,0,0,0,0,0,0,0,0,0,0
C00212,adenosine,6.5,0,4.11590234783297e-09,0,0,0,0,0,0,0,0,0,0
C00020,adenosine 5'-monophosphate pos,0.2,0,1.90349012094436e-08,0,0,0,0,0,5.74154507395491e-08,5.35505613295746e-08,9.61627280416908e-08,9.7029788483179e-08,8.35142094661266e-08
C00026,alpha-ketoglutaric acid,0,0,0,0,0,0,0,0,0,1.10606220376497e-08,0,2.51139333643665e-08,5.20740045056547e-08
C00062,arginine,0,0,2.13763699085784e-09,0,0,0,0,0,1.05225673869881e-08,5.37412708333707e-09,1.3832503195107e-08,1.83378109595305e-09,3.72798334845936e-10
C00049,aspartic acid pos,0,0,0,0,0,0,0,0,4.84985789475409e-10,0,0,0,2.96183205478583e-10
C00719,betaine,0,0,0,0,0,0,0,0,3.0016809120047e-09,0,0,1.9792144247545e-05,3.15855048202163e-05
C00120,biotin neg,52.8,0,0,0,0,0,0,0,0,0,0,0,0
C07481,caffeine,23.5,0,0,0,0,0,0,0,0,0,0,0,0
C01674,chitobiose pos,0.3,0,0,0,0,0,0,0,0,0,0,3.28153487294429e-08,6.71659753201852e-08
0,chitotriose,5.6,0,0,0,0,0,0,0,0,0,0,0,0
C00114,choline,0,0,0,0,0,0,0,0,0,0,0,0,0
C03557,ciliatine,0,0,0,0,0,0,0,0,0,0,0,0,0
C00158,citric acid,0.9,0,0,0,0,0,0,0,0,0,0,0,0
C00327,citrulline,0,0,0,0,0,0,0,0,3.38819422891818e-09,2.39539342717697e-09,3.55782799935949e-09,0,0
C08230,cyanocobalamin,79.1,0,0,0,0,0,0,0,0,0,0,0,0
C00380,cytosine,0,0,0,0,0,0,0,0,0,0,0,0,0
C01909,desthiobiotin pos,6.5,7.59151305000439e-08,0,0,0,0,0,0,0,0,0,0,0
C00111,dihydroxyacetone phosphate,0,0,0,0,0,0,0,0,4.8232284440288e-09,0,6.2258495301088e-09,0,1.22582616545222e-09
C06231,ectoine,0,0,0,0,0,0,0,0,0,0,0,0,0
C00504,folic acid neg,41.2,0,0,0,0,0,0,0,0,0,0,0,0
C06454,fosfomycin,0,0,0,0,0,0,0,0,0,0,0,0,0
C00122,fumaric acid,0,0,0,0,0,0,0,0,0,0,0,0,0
C00092,glucose6P,0,0,0,0,0,0,0,0,0,0,0,0,5.72314620705473e-09
C00025,glutamic acid,0,0,0,0,0,0,0,0,2.10089526985567e-08,2.19830096480481e-08,5.1899481646649e-08,5.38008088726897e-08,5.21015264122279e-08
C00064,glutamine,0,0,0,0,0,0,0,0,2.48726453737867e-09,0,3.64440707065216e-08,0,4.83431733650442e-09
C01705,glyphosate,15.1,0,0,0,0,0,0,0,0,0,0,0,0
C00242,guanine,0,1.65562029538154e-08,0,0,0,0,0,0,0,0,0,0,0
C00387,guanosine pos,7.7,1.21310726878901e-08,1.95423417364298e-09,2.749635007626e-09,5.59752118228529e-09,1.06514238900852e-08,3.34948882386241e-09,0,0,2.70059466109681e-10,2.48986573928696e-10,0,0
0,hemin II,0,0,5.63457440496713e-09,0,0,0,0,0,5.63754368357383e-09,2.74717549977026e-09,0,3.0128111408168e-08,3.63113793228354e-08
C00954,indole 3-acetic acid,16.8,0,0,0,0,0,0,0,0,0,0,0,0
C00294,inosine,8.1,0,0,0,0,0,0,0,0,0,0,0,0
C00130,inosine 5'-monophosphate neg,0,0,0,0,0,0,0,0,1.09127113175262e-09,0,3.41308098387274e-09,0,5.16030530899102e-09
C00407,isoleucine,1.41,0,0,0,0,6.11317750230722e-07,1.70413705969885e-07,0,0,0,4.02357856862172e-09,9.35024303828158e-09,9.32194661009947e-09
C00097,l-cysteine,0,0,0,0,0,0,0,0,0,0,0,0,0
C00051,l-glutathione,1.1,0,0,0,0,0,0,0,1.32047336876268e-09,2.85708267565654e-09,1.86681501667414e-09,0,1.74748855751514e-09
C00328,l-kynurenine,41.7,0,0,0,0,5.55573996142732e-08,0,2.80087869410759e-09,0,0,0,0,0
C00123,l-leucine,3.3,0,0,0,0,0,0,0,0,0,0,1.74447985503893e-08,1.90646992225403e-08
C00082,l-tyrosine,2.1,0,3.7938638294251e-09,6.41045409075583e-09,9.40908192659395e-09,3.41237035263373e-08,0,1.13811971227641e-10,8.61802035459496e-09,4.08403235277382e-09,2.04604938536713e-08,1.16427361187881e-08,1.37371838060224e-08
C00149,malic acid,0.7,0,0,0,0,0,0,0,0,0,0,0,0
C00073,methionine,0,0,0,0,0,0,0,0,0,2.29848608444887e-09,3.40590444029227e-09,5.72960966337271e-09,0
C06470,muramic acid,0,0,0,0,0,0,0,0,0,0,0,0,0
C00140,n-acetyl glucosamine,0,0,0,0,0,0,0,0,0,0,0,0,0
C00624,n-acetyl glutamic acid,1.1,0,0,0,0,0,0,0,2.8779798156834e-08,2.48519619090313e-08,5.06126283801681e-08,2.61924988210322e-08,3.04733339349439e-08
C02713,n-acetyl muramic acid pos,2.8,0,0,0,0,0,0,0,0,0,0,0,0
C00077,ornithine,0,0,0,0,0,0,0,0,0,0,0,0,0
C00295,orotic acid,0,0,0,0,0,0,0,0,0,0,0,0,0
C00864,pantothenic acid neg,51.9,3.48427370657811e-09,0,3.90733823872058e-09,2.32502476257722e-09,9.80420530352983e-09,7.70644398822863e-08,5.81328248326357e-08,0,0,0,2.88924171835867e-09,2.57807510454761e-09
C00079,phenylalanine,39.7,4.56787042693318e-09,3.84481623744768e-09,0,0,2.58997444217425e-06,7.16929036675709e-08,4.90345559264765e-08,5.813747121276e-09,5.99883233831798e-09,6.97099930376509e-09,7.40752316064022e-09,1.13847169637507e-08
C00074,phosphoenolpyruvate,0,0,0,0,0,0,0,0,0,0,0,0,0
C05786,phycocyanobilin,0,0,0,0,0,0,0,0,0,0,0,0,0
C00148,proline,0,0,0,0,0,0,0,0,3.60058203763013e-09,3.96187281892035e-09,1.11442038891499e-08,4.2035245434901e-09,2.95215873214906e-09
C00314,pyridoxine,6.8,0,0,0,0,0,0,0,0,0,0,0,0
C00255,riboflavin,87.6,0,0,0,0,0,0,0,0,0,0,0,0
0,s-(1-2-dicarboxyethyl)glutathione pos,NaN,7.73091035152505e-10,0,0,0,0,0,0,0,0,0,0,0
C00021,s-(5'-adenosyl)-L-homocysteine pos,43.3,0,8.40003911088668e-10,0,0,0,0,0,2.37753838838314e-09,3.0535516712644e-09,5.13660863396364e-09,7.19374610304636e-09,1.01262521817533e-08
C00019,s-adenosyl-L-methionine,0,0,3.70920669128269e-08,0,0,0,0,0,1.06699005878044e-08,4.81609869594594e-08,1.51415940481789e-08,1.14899988471071e-08,1.34966990363429e-08
C00213,sarcosine,0,0,0,0,0,0,0,0,0,0,0,0,0
C00065,serine,0,0,0,0,0,0,0,0,0,0,0,0,0
C00093,sn-glycerol 3-phosphate pos ,0,0,0,0,0,0,0,0,0,0,0,0,0
C05122,sodium taurocholate,92.8,0,0,0,0,0,0,0,0,0,0,0,0
C00315,spermidine,NaN,0,0,6.79240914172446e-10,0,1.57851595088334e-10,0,0,7.24077413065885e-09,6.09600814533718e-09,1.3320179896878e-08,1.71180916997585e-08,1.7271666055474e-08
C00042,succinic acid,0,0,0,2.81284023911568e-10,0,0,2.20208393947025e-09,4.62680166208932e-10,0,0,0,0,0
C10833,syringic acid,32.92,0,0,0,0,0,0,0,0,0,0,0,0
C00245,taurine,0,0,0,0,0,0,0,0,0,0,0,0,0
C00378,thiamine,2,0,0,0,0,0,0,0,0,0,0,0,0
C01081,thiamine monophosphate,0,0,0,0,0,0,0,0,0,0,0,0,0
C00188,threonine (isom. homoserine),0,0,0,0,0,0,0,0,0,0,0,0,0
C00214,thymidine,52.6,2.17322977631301e-06,0,1.66062316690115e-06,1.79830303777677e-06,1.96159972413502e-06,4.39490400897017e-07,7.46262413513401e-07,0,0,0,0,0
C00398,tryptamine,21.3,0,0,0,0,0,0,0,0,0,0,0,0
C00078,tryptophan,46.7,0,3.19211679234952e-09,3.20392142262062e-10,0,5.37754678481285e-08,2.1486224192368e-08,1.0471376080152e-08,1.96167089724247e-09,2.34221277128237e-09,1.5227566195095e-08,8.63297349601272e-09,8.23668460861535e-09
C00106,uracil pos,0,0,0,0,0,0,0,0,0,0,0,9.1795464208423e-09,0
C00105,uridine 5-monophosphate pos,0,0,0,0,0,0,0,0,0,2.5586532381678e-08,0,0,0
C00183,valine,0,0,1.72769318688376e-09,0,1.96709250800793e-10,0,1.66282541141952e-09,0,3.63791597523273e-10,1.29563377151255e-09,1.07262831521344e-09,2.6142795121339e-08,2.08795753829832e-08
C00385,xanthine pos,0.3,0,0,0,0,5.76201681061737e-10,0,7.49544166989206e-10,0,0,0,0,0
C01762,xanthosine neg,10.4,0,0,0,0,0,9.61794230330888e-09,0,0,0,0,0,0
