,Plimited_extracellular_s9301ax_50,Plimited_filter_s9301ax_50,replete_extracellular_s0801ax_10,replete_extracellular_s9301ax_10,replete_extracellular_s9301ax_50,replete_extracellular_s9313ax_10,replete_extracellular_s9313ax_5,replete_filter_s0801ax_10,replete_filter_s9301ax_10,replete_filter_s9301ax_50,replete_filter_s9313ax_10,replete_filter_s9313ax_5
C00111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23e-09,4.82e-09,0.0,1.23e-09,0.0
C00074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00042,0.0,0.0,0.0,2.81e-10,0.0,4.63e-10,2.2e-09,0.0,0.0,0.0,0.0,0.0
C00158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1100000000000002e-08,5.2099999999999997e-08,2.5099999999999996e-08
C00092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.720000000000001e-09,0.0
C00140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C02713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C01674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.719999999999999e-08,3.2799999999999996e-08
C00064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64e-08,2.49e-09,0.0,4.83e-09,0.0
C00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19e-08,2.1e-08,2.2000000000000002e-08,5.2099999999999997e-08,5.38e-08
C00065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
